endpoint	methods	permission	file:line	in_registry?
apollo/v1/email/track/click/(?P<token>[a-zA-Z0-9]+)	GET	__return_true	apollo-email/src/API/EmailController.php:325	YES
apollo/v1/email/preferences	GET	check_logged_in	apollo-email/src/API/EmailController.php:347	YES
apollo/v1/email/preferences	PUT	check_logged_in	apollo-email/src/API/EmailController.php:347	YES
apollo/v1/email/send	POST	check_admin	apollo-email/src/API/EmailController.php:59	YES
apollo/v1/email/test	POST	check_admin	apollo-email/src/API/EmailController.php:92	YES
apollo_newsletter	N/A	N/A	apollo-email/src/Newsletter.php:62	DEV_REG
apollo/v1/newsletter/subscribe	POST	__return_true	apollo-email/src/Newsletter.php:771	YES
apollo/v1/newsletter/subscribers	GET	closure	apollo-email/src/Newsletter.php:781	YES
apollo_email_prefs	N/A	N/A	apollo-email/src/Plugin.php:114	DEV_REG
apollo/v1/iframe/(?P<slug>[a-z0-9-]+)	GET	__return_true	apollo-events/includes/iframe-proxy.php:88	NO
apollo_event_single	N/A	N/A	apollo-events/includes/render-single.php:1043	DEV_REG
apollo/v1/eventos/(?P<id>\d+)/fragmento	GET	__return_true	apollo-events/includes/render-single.php:1055	NO
apollo/v1/eventos/proximos	GET	__return_true	apollo-events/src/API/EventsController.php:105	YES
apollo/v1/eventos/passados	GET	__return_true	apollo-events/src/API/EventsController.php:117	YES
apollo/v1/eventos/hoje	GET	__return_true	apollo-events/src/API/EventsController.php:129	YES
apollo/v1/eventos/por-data/(?P<date>[\d-]+)	GET	__return_true	apollo-events/src/API/EventsController.php:140	YES
apollo/v1/eventos/por-local/(?P<loc_id>\d+)	GET	__return_true	apollo-events/src/API/EventsController.php:161	YES
apollo/v1/eventos/por-dj/(?P<dj_id>\d+)	GET	__return_true	apollo-events/src/API/EventsController.php:179	YES
apollo/v1/eventos/(?P<id>\d+)/djs	GET	__return_true	apollo-events/src/API/EventsController.php:197	YES
apollo/v1/eventos/(?P<id>\d+)/djs	POST	can_edit_event	apollo-events/src/API/EventsController.php:197	YES
apollo/v1/eventos/(?P<id>\d+)/djs	DELETE	can_edit_event	apollo-events/src/API/EventsController.php:197	YES
apollo/v1/eventos/buscar	GET	__return_true	apollo-events/src/API/EventsController.php:238	YES
apollo/v1/eventos/calendario/(?P<year>\d{4})/(?P<month>\d{1,2})	GET	__return_true	apollo-events/src/API/EventsController.php:266	YES
apollo/v1/eventos/(?P<id>\d+)/banner	POST	can_edit_event	apollo-events/src/API/EventsController.php:291	YES
apollo/v1/eventos/(?P<id>\d+)/banner	DELETE	can_edit_event	apollo-events/src/API/EventsController.php:291	YES
apollo/v1/eventos/validar-imagem	POST	closure	apollo-events/src/API/EventsController.php:308	YES
apollo/v1/eventos/(?P<id>\d+)/clonar	POST	can_edit_event	apollo-events/src/API/EventsController.php:328	YES
apollo/v1/eventos/(?P<id>\d+)/estatisticas	GET	can_edit_event	apollo-events/src/API/EventsController.php:340	YES
apollo/v1/eventos/(?P<id>\d+)/participantes	GET	can_edit_event	apollo-events/src/API/EventsController.php:351	YES
apollo/v1/eventos/(?P<id>\d+)/participantes	POST	closure	apollo-events/src/API/EventsController.php:351	YES
apollo/v1/eventos/(?P<id>\d+)/participantes	DELETE	closure	apollo-events/src/API/EventsController.php:351	YES
