endpoint	methods	permission	file:line	in_registry?
apollo/v1/docs	POST	$this, 'check_logged_in'	apollo-docs/src/API/DocsController.php:28	no
apollo/v1/docs/(?P<id>\d+)	GET	$this, 'check_logged_in'	apollo-docs/src/API/DocsController.php:39	no
apollo/v1/docs/(?P<id>\d+)	PUT	$this, 'check_logged_in'	apollo-docs/src/API/DocsController.php:49	no
apollo/v1/docs/(?P<id>\d+)	DELETE	$this, 'check_logged_in'	apollo-docs/src/API/DocsController.php:58	no
apollo/v1/docs/(?P<id>\d+)/download	GET	$this, 'check_logged_in'	apollo-docs/src/API/DocsController.php:67	no
apollo/v1/docs/(?P<id>\d+)/finalize	POST	$this, 'check_logged_in'	apollo-docs/src/API/DocsController.php:94	no
apollo/v1/docs/(?P<id>\d+)/lock	POST	$this, 'check_logged_in'	apollo-docs/src/API/DocsController.php:84	no
apollo/v1/docs/(?P<id>\d+)/upload	POST	$this, 'check_logged_in'	apollo-docs/src/API/DocsController.php:105	no
apollo/v1/docs/(?P<id>\d+)/versions	GET	$this, 'check_logged_in'	apollo-docs/src/API/DocsController.php:77	no
apollo/v1/docs/folders	GET	$this, 'check_logged_in'	apollo-docs/src/API/FoldersController.php:14	no
apollo/v1/docs/folders	POST	$this, 'check_logged_in'	apollo-docs/src/API/FoldersController.php:23	no
apollo/v1/docs/folders/(?P<id>\d+)	PUT	$this, 'check_logged_in'	apollo-docs/src/API/FoldersController.php:33	no
apollo/v1/docs/folders/(?P<id>\d+)	DELETE	$this, 'check_admin'	apollo-docs/src/API/FoldersController.php:42	no
apollo/v1/docs/upload	POST	$this, 'check_logged_in'	apollo-docs/src/API/DocsController.php:114	no
apollo/v1/email/log	GET	$this, 'check_admin'	apollo-email/src/API/EmailController.php:212	yes
apollo/v1/email/log/purge	POST	$this, 'check_admin'	apollo-email/src/API/EmailController.php:256	yes
apollo/v1/email/preferences	GET,PUT	$this, 'check_logged_in'	apollo-email/src/API/EmailController.php:309	yes
apollo/v1/email/queue	GET	$this, 'check_admin'	apollo-email/src/API/EmailController.php:85	yes
apollo/v1/email/queue/(?P<id>\d+)/cancel	POST	$this, 'check_admin'	apollo-email/src/API/EmailController.php:117	yes
apollo/v1/email/queue/(?P<id>\d+)/retry	POST	$this, 'check_admin'	apollo-email/src/API/EmailController.php:127	yes
apollo/v1/email/queue/purge	POST	$this, 'check_admin'	apollo-email/src/API/EmailController.php:133	yes
apollo/v1/email/send	POST	$this, 'check_admin'	apollo-email/src/API/EmailController.php:14	yes
apollo/v1/email/stats	GET	$this, 'check_admin'	apollo-email/src/API/EmailController.php:79	yes
apollo/v1/email/templates	GET,POST	$this, 'check_admin'	apollo-email/src/API/EmailController.php:151	yes
apollo/v1/email/templates/(?P<id>\d+)	DELETE,GET,PUT	$this, 'check_admin'	apollo-email/src/API/EmailController.php:197	yes
apollo/v1/email/test	POST	$this, 'check_admin'	apollo-email/src/API/EmailController.php:65	yes
apollo/v1/email/track/click/(?P<token>[a-zA-Z0-9]+)	GET	'__return_true'	apollo-email/src/API/EmailController.php:284	yes
apollo/v1/email/track/open/(?P<token>[a-zA-Z0-9]+)	GET	'__return_true'	apollo-email/src/API/EmailController.php:270	yes
apollo/v1/errorlog	GET	function ()	apollo-admin/src/ErrorLogViewer.php:38	yes
